CFLAR	NM_001127183
CGGBP1	NM_001008390
CGNL1	NM_001252335
CGRRF1	NM_006568
CHAC1	NM_001142776
CHAF1B	NM_005441
CHCHD2	NM_001320327
CHCHD3	NM_001317177
CHCHD5	NM_001304353
CHCHD6	NM_001320610
CHCHD7	NM_001011667
CHD1L	NM_001256336
CHD2	NM_001042572
CHD6	NM_032221
CHD7	NM_001316690
CHD9	NM_001308319
CHFR	NM_001161344
CHGB	NM_001819
CHIC2	NM_012110
CHMP2B	NM_001244644
CHMP4B	NM_176812
CHMP4C	NM_152284
CHN1	NM_001025201
CHN2	NM_001039936
CHORDC1	NM_001144073
CHRAC1	NM_017444
CHRNA7	NM_000746
CHST10	NM_004854
CHST11	NM_001173982
CHST12	NM_001243794
CHST14	NM_130468
CHST3	NM_004273
CHST8	NM_001127895
CHSY1	NM_014918
CHUK	NM_001278
CHURC1	NM_001204063
CIAPIN1	NM_001308347
CISH	NM_013324
CIT	NM_001206999
CITED2	NM_001168388
CKAP2	NM_001098525
CKAP2L	NM_001304361
CKAP4	NM_006825
CKAP5	NM_001008938
CKB	NM_001823
CLASP1	NM_001142273
CLASP2	NM_001207044
CLCA2	NM_006536
CLCN3	NM_001243372
CLDN1	NM_021101
CLDN12	NM_001185072
CLDND1	NM_001040181
CLEC16A	NM_001243403
CLGN	NM_001130675
CLIC4	NM_013943
CLINT1	NM_001195555
CLIP1	NM_001247997
CLIP2	NM_003388
CLIP4	NM_001287527
CLK1	NM_001162407
CLK4	NM_020666
CLN3	NM_000086
CLN5	NM_006493
CLN8	NM_018941
CLNS1A	NM_001293
CLOCK	NM_001267843
CLP1	NM_001142597
CLPB	NM_001258392
CLPP	NM_006012
CLPTM1	NM_001282175
CLPTM1L	NM_030782
CLPX	NM_006660
CLSPN	NM_001190481
CLSTN2	NM_022131
CLTA	NM_001076677
CLTB	NM_001834
CLU	NM_001831
CLUAP1	NM_015041
CLYBL	NM_206808
CMAS	NM_018686
CMBL	NM_138809
CMC1	NM_001331187
CMPK1	NM_001136140
CMTM6	NM_017801
CMTM7	NM_138410
CMTM8	NM_001320308
CNBP	NM_001127192
CNDP2	NM_001168499
CNIH3	NM_001322302
CNIH4	NM_001277197
CNKSR3	NM_173515
CNNM1	NM_020348
CNNM2	NM_017649
CNNM4	NM_020184
CNOT10	NM_001256741
CNOT2	NM_001199302
CNOT4	NM_001008225
CNOT6	NM_001303241
CNOT8	NM_001301073
CNPY2	NM_001190991
CNPY3	NM_001318842
CNR1	NM_001160226
CNRIP1	NM_001111101
CNTLN	NM_001114395
CNTN1	NM_001256063
CNTNAP3	NM_033655
COBL	NM_001287436
COBLL1	NM_001278458
COCH	NM_001135058
COG2	NM_001145036
COG3	NM_031431
COIL	NM_004645
COL13A1	NM_001130103
COL14A1	NM_021110
COL19A1	NM_001858
COL25A1	NM_001256074
COL2A1	NM_001844
COL6A1	NM_001848
COL6A2	NM_001849
COLCA2	NM_001136105
COMMD1	NM_001321781
COMMD10	NM_001308080
COMMD2	NM_016094
COMMD4	NM_001284377
COMMD6	NM_001287392
COMMD8	NM_001329668
COMMD9	NM_001101653
COPB1	NM_001144061
COPS3	NM_001199125
COPS4	NM_001258006
COPS5	NM_006837
COPS7A	NM_001164093
COPS7B	NM_001282949
COPS8	NM_006710
COPZ1	NM_001271734
COQ10B	NM_001320818
